"SAMPLE_TYPE","DATA_COLUMN","DESCRIPTION","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"PHYTOPLANKTON","ALGAL_GROUP","Broad algal group, used in metric calculation","","BLUE-GREEN ALGAE|CRYPTOPHYTES|DIATOM|DINOFLAGELLATES|EUGLENOIDS|EUSTIGMATOPHYTES|GOLDEN ALGAE|GREEN ALGAE|YELLOW-GREEN ALGAE",NA,NA,"None"
"PHYTOPLANKTON","CLASS","","Class of taxon","",NA,NA,""
"PHYTOPLANKTON","FAMILY","","Family of taxon","",NA,NA,""
"PHYTOPLANKTON","GENUS","","Genus of taxon","",NA,NA,""
"PHYTOPLANKTON","ORDER","","Order of taxon","",NA,NA,""
"PHYTOPLANKTON","PHYLUM","","Phylum of taxon","",NA,NA,""
"PHYTOPLANKTON","SPECIES","","Species of taxon","",NA,NA,""
"PHYTOPLANKTON","TARGET_TAXON","","Name of taxon at target taxon level","",NA,NA,""
"","PUBLICATION_DATE","Publication Date","","",NA,NA,""
"","TAXA_ID","Taxa ID number","","",NA,NA,""
"","ASSEMBLAGE_NAME","Assemblage of taxon","","",NA,NA,""
